,Description (2018 Census Occupation Code),2018 Census PUMS Occupation Code
manufactured building and mobile home installers, manufactured building and mobile home installers,7550
"other installation, maintenance, and repair workers"," other installation, maintenance, and repair workers",7640
signal and track switch repairers,signal and track switch repairers,7640
"installation, maintenance, and repair workers, all other","installation, maintenance, and repair workers, all other",7640
first-line supervisors of production and operating workers,first-line supervisors of production and operating workers,7700
"electrical, electronics, and electromechanical assemblers","electrical, electronics, and electromechanical assemblers",7720
engine and other machine assemblers,engine and other machine assemblers,7730
structural metal fabricators and fitters,structural metal fabricators and fitters,7740
other assemblers and fabricators,other assemblers and fabricators,7750
"aircraft structure, surfaces, rigging, and systems assemblers"," aircraft structure, surfaces, rigging, and systems assemblers",7710
fiberglass laminators and fabricators,fiberglass laminators and fabricators,7750
timing device assemblers and adjusters,timing device assemblers and adjusters,7750
team assemblers,team assemblers ,7750
"assemblers and fabricators, all other","assemblers and fabricators, all other ",7750
bakers,bakers,7800
"butchers and other meat, poultry, and fish processing workers","butchers and other meat, poultry, and fish processing workers",7810
"food and tobacco roasting, baking, and drying machine operators and tenders","food and tobacco roasting, baking, and drying machine operators and tenders",7830
food batchmakers,food batchmakers,7840
food cooking machine operators and tenders,food cooking machine operators and tenders,7850
"food processing workers, all other","food processing workers, all other",7855
computer numerically controlled tool operators and programmers,computer numerically controlled tool operators and programmers,7905
"forming machine setters, operators, and tenders, metal and plastic","forming machine setters, operators, and tenders, metal and plastic",7925
"cutting, punching, and press machine setters, operators, and tenders, metal and plastic","cutting, punching, and press machine setters, operators, and tenders, metal and plastic",7950
"grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic","grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",8000
"other machine tool setters, operators, and tenders, metal and plastic","other machine tool setters, operators, and tenders, metal and plastic",8025
"drilling and boring machine tool setters, operators, and tenders, metal and plastic","drilling and boring machine tool setters, operators, and tenders, metal and plastic",8025
"lathe and turning machine tool setters, operators, and tenders, metal and plastic","lathe and turning machine tool setters, operators, and tenders, metal and plastic ",8025
"milling and planing machine setters, operators, and tenders, metal and plastic","milling and planing machine setters, operators, and tenders, metal and plastic",8025
machinists,machinists,8030
"metal furnace operators, tenders, pourers, and casters","metal furnace operators, tenders, pourers, and casters",8040
"model makers, patternmakers, and molding machine setters, metal and plastic","model makers, patternmakers, and molding machine setters, metal and plastic",8100
"model makers and patternmakers, metal and plastic"," model makers and patternmakers, metal and plastic",8060
"molders and molding machine setters, operators, and tenders, metal and plastic"," molders and molding machine setters, operators, and tenders, metal and plastic",8100
tool and die makers,tool and die makers,8130
"welding, soldering, and brazing workers","welding, soldering, and brazing workers",8140
other metal workers and plastic workers,other metal workers and plastic workers,8225
"multiple machine tool setters, operators, and tenders, metal and plastic","multiple machine tool setters, operators, and tenders, metal and plastic",8225
"heat treating equipment setters, operators, and tenders, metal and plastic","heat treating equipment setters, operators, and tenders, metal and plastic",8225
"layout workers, metal and plastic","layout workers, metal and plastic ",8225
"plating machine setters, operators, and tenders, metal and plastic","plating machine setters, operators, and tenders, metal and plastic",8225
"tool grinders, filers, and sharpeners","tool grinders, filers, and sharpeners",8225
"metal workers and plastic workers, all other","metal workers and plastic workers, all other ",8225
prepress technicians and workers,prepress technicians and workers,8250
printing press operators,printing press operators,8255
print binding and finishing workers,print binding and finishing workers,8256
laundry and dry-cleaning workers,laundry and dry-cleaning workers,8300
"pressers, textile, garment, and related materials","pressers, textile, garment, and related materials",8310
sewing machine operators,sewing machine operators,8320
shoe and leather workers,shoe and leather workers,8335
"tailors, dressmakers, and sewers","tailors, dressmakers, and sewers",8350
"textile machine setters, operators, and tenders","textile machine setters, operators, and tenders",8365
upholsterers,upholsterers,8450
"other textile, apparel, and furnishings workers","other textile, apparel, and furnishings workers",8465
"extruding and forming machine setters, operators, and tenders, synthetic and glass fibers","extruding and forming machine setters, operators, and tenders, synthetic and glass fibers ",8465
fabric and apparel patternmakers,fabric and apparel patternmakers,8465
"textile, apparel, and furnishings workers, all other","textile, apparel, and furnishings workers, all other ",8465
cabinetmakers and bench carpenters,cabinetmakers and bench carpenters,8500
furniture finishers,furniture finishers,8510
"sawing machine setters, operators, and tenders, wood","sawing machine setters, operators, and tenders, wood",8530
"woodworking machine setters, operators, and tenders, except sawing","woodworking machine setters, operators, and tenders, except sawing",8540
other woodworkers,other woodworkers,8555
"model makers and patternmakers, wood","model makers and patternmakers, wood",8555
"woodworkers, all other","woodworkers, all other ",8555
"power plant operators, distributors, and dispatchers","power plant operators, distributors, and dispatchers",8600
stationary engineers and boiler operators,stationary engineers and boiler operators,8610
water and wastewater treatment plant and system operators,water and wastewater treatment plant and system operators,8620
miscellaneous plant and system operators,miscellaneous plant and system operators,8630
"chemical processing machine setters, operators, and tenders","chemical processing machine setters, operators, and tenders",8640
"crushing, grinding, polishing, mixing, and blending workers","crushing, grinding, polishing, mixing, and blending workers",8650
cutting workers,cutting workers,8710
"extruding, forming, pressing, and compacting machine setters, operators, and tenders","extruding, forming, pressing, and compacting machine setters, operators, and tenders",8720
"furnace, kiln, oven, drier, and kettle operators and tenders","furnace, kiln, oven, drier, and kettle operators and tenders",8730
"inspectors, testers, sorters, samplers, and weighers","inspectors, testers, sorters, samplers, and weighers",8740
jewelers and precious stone and metal workers,jewelers and precious stone and metal workers,8750
dental and ophthalmic laboratory technicians and medical appliance technicians,dental and ophthalmic laboratory technicians and medical appliance technicians,8760
packaging and filling machine operators and tenders,packaging and filling machine operators and tenders,8800
painting workers,painting workers,8810
photographic process workers and processing machine operators,photographic process workers and processing machine operators,8830
adhesive bonding machine operators and tenders,adhesive bonding machine operators and tenders,8850
etchers and engravers,etchers and engravers,8910
"molders, shapers, and casters, except metal and plastic","molders, shapers, and casters, except metal and plastic",8920
"paper goods machine setters, operators, and tenders","paper goods machine setters, operators, and tenders",8930
tire builders,tire builders,8940
helpers--production workers,helpers--production workers,8950
"miscellaneous production workers, including equipment operators and tenders","miscellaneous production workers, including equipment operators and tenders",8990
other production equipment operators and tenders, other production equipment operators and tenders,8865
"cleaning, washing, and metal pickling equipment operators and tenders","cleaning, washing, and metal pickling equipment operators and tenders",8865
cooling and freezing equipment operators and tenders,cooling and freezing equipment operators and tenders,8865
semiconductor processing technicians,semiconductor processing technicians,8990
"production workers, all other","production workers, all other",8990
supervisors of transportation and material moving workers,supervisors of transportation and material moving workers,9005
aircraft pilots and flight engineers,aircraft pilots and flight engineers,9030
air traffic controllers and airfield operations specialists,air traffic controllers and airfield operations specialists,9040
flight attendants,flight attendants,9050
"ambulance drivers and attendants, except emergency medical technicians","ambulance drivers and attendants, except emergency medical technicians",9110
"bus drivers, school","bus drivers, school",9121
"bus drivers, transit and intercity","bus drivers, transit and intercity",9122
driver/sales workers and truck drivers,driver/sales workers and truck drivers,9130
shuttle drivers and chauffeurs,shuttle drivers and chauffeurs,9141
taxi drivers,taxi drivers,9142
"motor vehicle operators, all other","motor vehicle operators, all other",9150
locomotive engineers and operators,locomotive engineers and operators,9210
railroad conductors and yardmasters,railroad conductors and yardmasters,9240
other rail transportation workers,other rail transportation workers,9265
"railroad brake, signal, and switch operators and locomotive firers","railroad brake, signal, and switch operators and locomotive firers",9265
subway and streetcar operators,subway and streetcar operators,9265
"rail transportation workers, all other","rail transportation workers, all other",9265
"sailors and marine oilers, and ship engineers","sailors and marine oilers, and ship engineers",9300
sailors and marine oilers, sailors and marine oilers,9300
ship engineers, ship engineers,9330
ship and boat captains and operators,ship and boat captains and operators,9310
parking attendants,parking attendants,9350
transportation service attendants,transportation service attendants,9365
transportation inspectors,transportation inspectors,9410
passenger attendants,passenger attendants,9415
other transportation workers,other transportation workers,9430
bridge and lock tenders,bridge and lock tenders,9430
traffic technicians,traffic technicians,9430
"transportation workers, all other","transportation workers, all other",9430
crane and tower operators,crane and tower operators,9510
"conveyor, dredge, and hoist and winch operators","conveyor, dredge, and hoist and winch operators",9570
conveyor operators and tenders,conveyor operators and tenders,9570
dredge operators,dredge operators,9570
hoist and winch operators,hoist and winch operators,9570
industrial truck and tractor operators,industrial truck and tractor operators,9600
cleaners of vehicles and equipment,cleaners of vehicles and equipment,9610
"laborers and freight, stock, and material movers, hand","laborers and freight, stock, and material movers, hand",9620
machine feeders and offbearers,machine feeders and offbearers,9630
"packers and packagers, hand","packers and packagers, hand",9640
stockers and order fillers,stockers and order fillers,9645
pumping station operators,pumping station operators,9650
refuse and recyclable material collectors,refuse and recyclable material collectors,9720
other material moving workers,other material moving workers,9760
"tank car, truck, and ship loaders","tank car, truck, and ship loaders",9760
"material moving workers, all other","material moving workers, all other",9760
military officer special and tactical operations leaders,military officer special and tactical operations leaders,9800
first-line enlisted military supervisors,first-line enlisted military supervisors,9810
military enlisted tactical operations and air/weapons specialists and crew members,military enlisted tactical operations and air/weapons specialists and crew members,9825
"military, rank not specified","military, rank not specified",9830
